"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"3/09/2018","Rosedale Market","ROSEDALE MARKET 1309 W 45TH STROSEDALE MARKET 1309 W 45TH ST AUSTIN TX Card 15 #8212","10.81","debit","Gas & Fuel","PLUS CHECKING","",""
"3/08/2018","Chase Type Autopay","CHASE CREDIT CRD TYPE: AUTOPAYID: 4760039224 CO: CHASE CREDIT CRD ACH ECC PPD","56.90","debit","Credit Card Payment","PLUS CHECKING","",""
"3/08/2018","Lowe's","LOWE'S #1727 AUSTIN TX Card 15LOWE'S #1727 AUSTIN TX Card 15 #8212","7.77","debit","Check","PLUS CHECKING","",""
"3/08/2018","Family Dentistry","Check Card: WALTON FAMILYDENTISTRY 512-9538362 TX  03/07/18Card 15 #8212","152.96","debit","Dentist","PLUS CHECKING","",""
"3/08/2018","Brittany Neece Ma","Check Card: SQ *BRITTANY NEECE,MA, Austin TX  03/07/18Card 15 #4032","30.00","debit","Check","PLUS CHECKING","",""
"3/08/2018","Costco Gas","COSTCO GAS #0681 AUSTIN TX CardCOSTCO GAS #0681 AUSTIN TX Card 15 #8212","28.29","debit","Gas & Fuel","PLUS CHECKING","",""
"3/08/2018","ATM Deposit","ATM Deposit #000000000797  UFCU3305 STECK AVE DU AUSTIN TX 457450 Card 15 #8212","25.00","credit","Income","PLUS CHECKING","",""
"3/08/2018","Costco","COSTCO WHSE #0681 AUSTIN TXCOSTCO WHSE #0681 AUSTIN TX Card 15 #8212","116.02","debit","Groceries","PLUS CHECKING","",""
"3/07/2018","Statesman Tx","Check Card: STATESMANCheck Card: STATESMAN 512-445-4040 TX  03/07/18Card 15 #8212","55.74","debit","Check","PLUS CHECKING","",""
"3/07/2018","connie hausman","2095","75.00","debit","Check","PLUS CHECKING","",""
"3/07/2018","Randalls","RANDALLS STORE 2475 AUSTIN TXRANDALLS STORE 2475 AUSTIN TX Card 15 #4032","18.89","debit","Groceries","PLUS CHECKING","",""
"3/07/2018","Spotify","Check Card: Spotify USACheck Card: Spotify USA 646-8375380 NY  03/07/18Card 15 #4032","10.81","debit","Check","PLUS CHECKING","",""
"3/07/2018","Speedy Stop","Check Card: SPEEDY STOP FOODSTORES AUSTIN TX  03/06/18Card 15 #8212","7.00","debit","Gas & Fuel","PLUS CHECKING","",""
"3/07/2018","PayPal","PAYPAL TYPE: INST XFER  ID:PAYPAL TYPE: INST XFER  ID: PAYPALSI77 CO: PAYPAL ACH ECC WEB","11.90","debit","Check","PLUS CHECKING","",""
"3/06/2018","University Fcu Mobile","#325104 University FCU Mobile#325104 University FCU Mobile Deposit University FC TX","65.00","credit","Income","PLUS CHECKING","",""
"3/06/2018","Monroe Benjamin","To MONROE,BENJAMIN","150.00","debit","room/board","PLUS CHECKING","",""
"3/06/2018","Time Warner","TIME WARNER CABL TYPE: TW CABLEID: C826016000 CO: TIME WARNER CABL ACH ECC WEB","186.68","debit","Television","PLUS CHECKING","",""
"3/06/2018","Liberty Mutual","LIBERTY MUTUAL TYPE: PAYMENTID: 9267721101 CO: LIBERTY MUTUAL ACH ECC PPD","29.17","debit","Home Insurance","PLUS CHECKING","",""
"3/06/2018","Liberty Mutual","LIBERTY MUTUAL TYPE: PAYMENTID: 9267721101 CO: LIBERTY MUTUAL ACH ECC PPD","210.92","debit","Home Insurance","PLUS CHECKING","",""
"3/05/2018","ABM Parking One","Check Card: ABM PARKING ONETEXAS C AUSTIN TX  03/03/18Card 15 #4032","5.00","debit","Check","PLUS CHECKING","",""
"3/05/2018","Easy Tiger Tx","Check Card: EASY TIGERCheck Card: EASY TIGER 512-4678776 TX  03/04/18Card 15 #8212","48.00","debit","Check","PLUS CHECKING","",""
"3/05/2018","iTunes","Check Card: APL*ITUNES.COM/BILL 866-712-7753 CA  03/05/18Card 15 #8212","4.32","debit","Check","PLUS CHECKING","",""
"3/05/2018","Liberty Mutual","LIBERTY MUTUAL TYPE: PAYMENTID: 9267721101 CO: LIBERTY MUTUAL ACH ECC PPD","231.75","debit","Home Insurance","PLUS CHECKING","",""
"3/05/2018","Crescendo Bioscience","Crescendo BioScience 0697109010","25.00","debit","Doctor","PLUS CHECKING","",""
"3/05/2018","People's Pharmacy Inc.","Peoples Pharmac 4018 NORTHPeoples Pharmac 4018 NORTH LAMAR BLVD AUSTIN TX Card 15 #4032","6.04","debit","Groceries","PLUS CHECKING","",""
"3/04/2018","Udemy","#806229637333  UDEMY ONLINECOURSES HTTPSWWW.UDEM CA  Card 15 #4032","14.99","debit","Check","PLUS CHECKING","",""
"3/04/2018","iTunes","Check Card: APL*ITUNES.COM/BILL 866-712-7753 CA  03/04/18Card 15 #4032","6.48","debit","Check","PLUS CHECKING","",""
"3/04/2018","Birds Barber Shop LLC","Check Card: BIRDS BARBERSHOP -BURN AUSTIN TX  03/03/18Card 15 #4032","52.00","debit","Check","PLUS CHECKING","",""
"3/04/2018","Sterling Events","Check Card: STERLING EVENTSCheck Card: STERLING EVENTS AUSTIN TX  03/03/18Card 15 #4032","15.50","debit","Check","PLUS CHECKING","",""
"3/04/2018","Little Sister Salon","Check Card: Little Sister SalonAUSTIN TX  03/03/18Card 15 #8212","82.50","debit","Check","PLUS CHECKING","",""
"3/04/2018","Best Buy","NST BEST BUY 0032102 1201BARBARA JORDAN BL AUSTIN TX Card 15 #4032","11.90","debit","Check","PLUS CHECKING","",""
"3/04/2018","Central Market","CENTRAL MARKET #061 4001 N.CENTRAL MARKET #061 4001 N. LAMAR AUSTIN TX Card 15 #8212","100.77","debit","Groceries","PLUS CHECKING","",""
"3/04/2018","Tomlinson Allendale","Check Card: TOMLINSON'SALLENDALE AUSTIN TX  03/03/18Card 15 #8212","55.32","debit","Groceries","PLUS CHECKING","",""
"3/04/2018","Udemy","Check Card: UDEMY ONLINECOURSES HTTPSWWW.UDEM CA  03/03/18Card 15 #4032","11.99","debit","Check","PLUS CHECKING","",""
"3/03/2018","University Fcu Mobile","#027753 University FCU Mobile#027753 University FCU Mobile Deposit University FC TX","65.00","credit","Income","PLUS CHECKING","",""
"3/03/2018","Rollin Smoke Atx","Check Card: SQ *ROLLIN SMOKEATX BB Austin TX  03/03/18Card 15 #8212","4.24","debit","Check","PLUS CHECKING","",""
"3/03/2018","Shoal Creek Nursery LLC","Check Card: SHOAL CREEK NURSERCheck Card: SHOAL CREEK NURSER AUSTIN TX  03/02/18Card 15 #8212","23.79","debit","Check","PLUS CHECKING","",""
"3/03/2018","West End Grooming","Check Card: SQ *WEST END GROOMIAUSTIN TX  03/02/18Card 15 #8212","12.99","debit","Check","PLUS CHECKING","",""
"3/02/2018","Austin Energy","AUSTIN ENERGY-ELECTRIC &AUSTIN ENERGY-ELECTRIC & WATER 0697085707","167.12","debit","Utilities","PLUS CHECKING","",""
"3/02/2018","Udemy","Check Card: UDEMY ONLINECOURSES HTTPSWWW.UDEM CA  03/01/18Card 15 #4032","14.99","debit","Check","PLUS CHECKING","",""
"3/01/2018","Central Market","CENTRAL MARKET #061 4001 N.CENTRAL MARKET #061 4001 N. LAMAR AUSTIN TX Card 15 #8212","95.40","debit","Groceries","PLUS CHECKING","",""
"3/01/2018","AT&T","ATT TYPE: Payment  ID:ATT TYPE: Payment  ID: 9864031004  CO: ATT ACH ECC PPD","334.22","debit","Home Phone","PLUS CHECKING","",""
"3/01/2018","Venmo","VENMO TYPE: PAYMENT  ID:VENMO TYPE: PAYMENT  ID: 3264681992  CO: VENMO ACH ECC WEB","20.00","debit","Transfer","PLUS CHECKING","",""
"3/01/2018","Brittany Neece Ma","Check Card: SQ *BRITTANY NEECE,MA, Austin TX  02/28/18Card 15 #4032","30.00","debit","Check","PLUS CHECKING","",""
"3/01/2018","Bb T Mortgage","BB&T Mortgage 2013BB&T Mortgage 2013 0697100478","1153.81","debit","Mortgage & Rent","PLUS CHECKING","",""
"2/28/2018","Tiered Rate Apy","Tiered Rate APY Earned  0.01%Tiered Rate APY Earned  0.01% 02/01/18 to 02/28/18","0.02","credit","Income","PLUS CHECKING","",""
"2/28/2018","Sch Blind Vis","SCH BLIND VIS IM : REG SALARYID: 1746000089CO: SCH BLIND VIS IM ACH ECC PPD","1836.77","credit","Paycheck","PLUS CHECKING","",""
"2/28/2018","People's Pharmacy Inc.","Check Card: PEOPLES PHARMACY -#1 AUSTIN TX  02/27/18Card 15 #8212","9.23","debit","Groceries","PLUS CHECKING","",""
"2/28/2018","Monroe Benjamin","To MONROE,BENJAMIN","680.00","debit","room/board","PLUS CHECKING","",""
"2/28/2018","Rosedale Market","ROSEDALE MARKET 1309 W 45TH STROSEDALE MARKET 1309 W 45TH ST AUSTIN TX Card 15 #4032","2.98","debit","Gas & Fuel","PLUS CHECKING","",""
"2/27/2018","Ut Payroll Ut","UT Payroll CO: UT Payroll","5446.31","credit","Paycheck","PLUS CHECKING","",""
"2/27/2018","Costco","COSTCO WHSE #0681 AUSTIN TXCOSTCO WHSE #0681 AUSTIN TX Card 15 #8212","138.52","debit","Groceries","PLUS CHECKING","",""
"2/27/2018","Transfer to TAX SAVINGS","To Share 0001 TAX SAVINGSTo Share 0001 TAX SAVINGS  Mobile Banking Transfer","800.00","debit","Transfer","PLUS CHECKING","",""
"2/27/2018","Transfer to REGULAR SAVINGS","To Share 0000 REGULAR SAVINGSTo Share 0000 REGULAR SAVINGS  Mobile Banking Transfer","500.00","debit","Transfer","PLUS CHECKING","",""
"2/27/2018","Transfer from PLUS CHECKING","From Share 0080 Mobile BankingFrom Share 0080 Mobile Banking Transfer PLUS CHECKING","800.00","credit","Transfer","TAX SAVINGS","",""
"2/27/2018","Transfer from PLUS CHECKING","From Share 0080 Mobile BankingFrom Share 0080 Mobile Banking Transfer PLUS CHECKING","500.00","credit","Transfer","REGULAR SAVINGS","",""
"2/26/2018","Transfer to CREDIT CARD","CHASE CREDIT CRD TYPE: EPAYID: 5760039224 CO: CHASE CREDIT CRD ACH ECC WEB","1000.00","debit","Credit Card Payment","PLUS CHECKING","",""
"2/26/2018","HEB","HEB #202 5808 BURNETT ROADHEB #202 5808 BURNETT ROAD AUSTIN TX Card 15 #8212","72.85","debit","Groceries","PLUS CHECKING","",""
"2/26/2018","Lockhart Market Llc","Check Card: LOCKHART MARKET LLC#1 LOCKHART TX  02/25/18Card 15 #8212","29.16","debit","Groceries","PLUS CHECKING","",""
"2/26/2018","Thundercloud 28","Check Card: THUNDERCLOUD - 01Check Card: THUNDERCLOUD - 01 AUSTIN TX  02/23/18Card 15 #4032","9.43","debit","Check","PLUS CHECKING","",""
"2/26/2018","Instacart Subscription Ca","Check Card: INSTACARTSUBSCRIPTION 888-246-7822 CA  02/24/18Card 15 #8212","149.00","credit","Check","PLUS CHECKING","",""
"2/25/2018","ATM Fee","ATM Withdrawal #805600001338SMITTYS MARK-136156 208 S. COMMERCE STLOCKHART TX A136156Card 15 #8212","2.00","debit","ATM Fee","PLUS CHECKING","",""
"2/25/2018","ATM Withdrawal","ATM Withdrawal #805600001338SMITTYS MARK-136156 208 S. COMMERCE STLOCKHART TX A136156Card 15 #8212","100.00","debit","Cash & ATM","PLUS CHECKING","",""
"2/25/2018","Torchys Tacos","Check Card: TORCHYS TACOS - 7 -BU AUSTIN TX  02/24/18Card 15 #8212","18.24","debit","Check","PLUS CHECKING","",""
"2/25/2018","Three Little Pi","Check Card: SQ *THREE LITTLE PIAUSTIN TX  02/23/18Card 15 #4032","9.44","debit","Check","PLUS CHECKING","",""
"2/25/2018","The Natural Gardener Inc","Check Card: THE NATURALGARDENER AUSTIN TX  02/24/18Card 15 #8212","42.13","debit","Check","PLUS CHECKING","",""
"2/25/2018","Shoal Creek Nursery LLC","Check Card: SHOAL CREEK NURSERCheck Card: SHOAL CREEK NURSER AUSTIN TX  02/24/18Card 15 #8212","7.89","debit","Check","PLUS CHECKING","",""
"2/25/2018","The Aristocrat Lounge","Check Card: THE ARISTOCRATLOUNG AUSTIN TX  02/23/18Card 15 #8212","10.00","debit","Check","PLUS CHECKING","",""
"2/25/2018","Fiddlers Green","Check Card: FIDDLERS GREENCheck Card: FIDDLERS GREEN AUSTIN TX  02/24/18Card 15 #4032","12.99","debit","Check","PLUS CHECKING","",""
"2/25/2018","Transfer from PLUS CHECKING","Payment Thank You - Web","1000.00","credit","Credit Card Payment","CREDIT CARD","",""
"2/24/2018","Home Depot","NST THE HOME DEPOT 032359 1200HOME DEPOT BLVD SUNSET VALLEY TX Card 15 #8212","12.05","debit","Check","PLUS CHECKING","",""
"2/24/2018","iTunes","Check Card: APL*ITUNES.COM/BILL 866-712-7753 CA  02/24/18Card 15 #4032","2.99","debit","Check","PLUS CHECKING","",""
"2/24/2018","The Corner Store","AROUND THE CORNER STORE AUSTINAROUND THE CORNER STORE AUSTIN TX Card 15 #8212","29.82","debit","Gas & Fuel","PLUS CHECKING","",""
"2/24/2018","La Mancha Texmex","Check Card: LA MANCHA TEXMEXTAVERN AUSTIN TX  02/23/18Card 15 #8212","10.66","debit","Check","PLUS CHECKING","",""
"2/24/2018","Target","TARGET T-1542 5621 N I H 35TARGET T-1542 5621 N I H 35 Austin TX Card 15 #8212","86.17","debit","Groceries","PLUS CHECKING","",""
"2/22/2018","Ut Payroll Ut","UT Payroll CO: UT Payroll","48.21","credit","Paycheck","PLUS CHECKING","",""
"2/22/2018","Tax Products Pe","TAX PRODUCTS PE4 : SBTPG LLCID: 3722260102CO: TAX PRODUCTS PE4 ACH ECC PPD","1502.72","credit","Taxes","PLUS CHECKING","",""
"2/21/2018","Chick-Fil-A","Check Card: CHICK-FIL-A #01036LUBBOCK TX  02/19/18Card 15 #8212","14.56","debit","Check","PLUS CHECKING","",""
"2/21/2018","TxTag","Check Card: TXTAG 888 468 9824888-4689824 TX  02/20/18Card 15 #8212","20.00","debit","Check","PLUS CHECKING","",""
"2/21/2018","Central Market","CENTRAL MARKET #061 4001 N.CENTRAL MARKET #061 4001 N. LAMAR AUSTIN TX Card 15 #4032","139.87","debit","Groceries","PLUS CHECKING","",""
"2/21/2018","Bennettsull Ny","#805129894157  PAYPAL*BENNETTSULL 402-935-7733 NY  Card 15 #4032","15.99","debit","Check","PLUS CHECKING","",""
"2/20/2018","Pajarito Brewpub Gr","Check Card: Pajarito Brewpuband Gr Los Alamos NM  02/19/18Card 15 #8212","48.78","debit","Check","PLUS CHECKING","",""
"2/20/2018","Synchrony Bank Type","SYNCHRONY BANK TYPE: PAYMENTID: 1061537262 CO: SYNCHRONY BANK ACH ECC PPD","84.50","debit","Doctor","PLUS CHECKING","",""
"2/20/2018","Starbucks","Check Card: STARBUCKS STORE06442 LOS ALAMOS NM  02/19/18Card 15 #8212","2.31","debit","Check","PLUS CHECKING","",""
"2/20/2018","Gulf","Check Card: GULF OIL 92059707Check Card: GULF OIL 92059707 COLEMAN TX  02/19/18Card 15 #8212","28.28","debit","Gas & Fuel","PLUS CHECKING","",""
"2/19/2018","Allsups","ALLSUPS 171 CLOVIS NM Card 15ALLSUPS 171 CLOVIS NM Card 15 #8212","23.39","debit","Gas & Fuel","PLUS CHECKING","",""
"2/19/2018","Starbucks","Check Card: STARBUCKS STORE06442 LOS ALAMOS NM  02/18/18Card 15 #8212","2.09","debit","Check","PLUS CHECKING","",""
"2/19/2018","Starbucks","Check Card: STARBUCKS STORE06442 LOS ALAMOS NM  02/18/18Card 15 #8212","6.00","debit","Check","PLUS CHECKING","",""
"2/19/2018","Coleman","TACS # 10 516 S COMMERCIAL AVETACS # 10 516 S COMMERCIAL AVE COLEMAN TX Card 15 #8212","5.21","debit","Gas & Fuel","PLUS CHECKING","",""
"2/19/2018","Central Market","CENTRAL MARKET #061 4001 N.CENTRAL MARKET #061 4001 N. LAMAR AUSTIN TX Card 15 #4032","18.86","debit","Groceries","PLUS CHECKING","",""
"2/19/2018","Ta Santa Rosa","TA # 23 SANTA ROSA SANTA ROSATA # 23 SANTA ROSA SANTA ROSA NM Card 15 #8212","10.55","debit","Gas & Fuel","PLUS CHECKING","",""
"2/19/2018","Papa Murphy's","Check Card: PAPA MURPHY'S NM010LOS ALAMOS NM  02/18/18Card 15 #8212","16.00","debit","Check","PLUS CHECKING","",""
"2/19/2018","Papa Murphy's","Check Card: PAPA MURPHY'S NM010LOS ALAMOS NM  02/18/18Card 15 #8212","16.00","debit","Check","PLUS CHECKING","",""
"2/18/2018","Los Alamos History","Check Card: SQ *LOS ALAMOSHISTORY Los Alamos NM  02/18/18Card 15 #8212","5.00","debit","Check","PLUS CHECKING","",""
"2/18/2018","El Patio","EL PATIO DE ALBUQUERQUE","18.06","debit","Check","CREDIT CARD","",""
"2/18/2018","McDonald's","MCDONALD'S F30308","8.19","debit","Check","CREDIT CARD","",""
"2/18/2018","Warrior","WARRIOR","28.85","debit","Gas & Fuel","CREDIT CARD","",""
"2/18/2018","El Patio","EL PATIO DE ALBUQUERQUE","60.53","debit","Check","CREDIT CARD","",""
"2/18/2018","La Quinta","LA QUINTA INNS  0521","62.15","debit","Travel","CREDIT CARD","",""
"2/18/2018","Phillips 66","PHILLIPS 66 - STRIPES 225","31.25","debit","Gas & Fuel","CREDIT CARD","",""
"2/18/2018","Panera Bread","PANERA BREAD # 601896","29.82","debit","Check","CREDIT CARD","",""
"2/18/2018","Dairy Queen","DAIRY QUEEN - FLYING C","6.38","debit","Check","CREDIT CARD","",""
"2/17/2018","iTunes","Check Card: APL*ITUNES.COM/BILL 866-712-7753 CA  02/17/18Card 15 #8212","14.06","debit","Check","PLUS CHECKING","",""
"2/17/2018","The Corner Store","AROUND THE CORNER STORE AUSTINAROUND THE CORNER STORE AUSTIN TX Card 15 #4032","21.64","debit","Gas & Fuel","PLUS CHECKING","",""
"2/17/2018","HEB","HEB #202 5808 BURNETT ROADHEB #202 5808 BURNETT ROAD AUSTIN TX Card 15 #4032","16.93","debit","Groceries","PLUS CHECKING","",""
"2/16/2018","Kut Radio Ut","Check Card: KUT RADIO UT AUSTIN512-4711631 TX  02/15/18Card 15 #8212","20.00","debit","Charity","PLUS CHECKING","",""
"2/16/2018","Starbucks","Check Card: STARBUCKS STORE06330 AUSTIN TX  02/15/18Card 15 #4032","2.33","debit","Check","PLUS CHECKING","",""
"2/16/2018","Unm Ticketing Service","UNM TICKETING SERVICE INT","56.25","debit","Check","CREDIT CARD","",""
"2/16/2018","Beauty Salon","THE BEAUTY STORE SALON S","37.89","debit","Check","CREDIT CARD","",""
"2/15/2018","Burnet Road Inspections","Check Card: BURNET ROADINSPECTIONS AUSTIN TX  02/14/18Card 15 #8212","19.50","debit","Check","PLUS CHECKING","",""
"2/15/2018","Randalls","RANDALLS STORE 2475 AUSTIN TXRANDALLS STORE 2475 AUSTIN TX Card 15 #4032","32.44","debit","Groceries","PLUS CHECKING","",""
"2/15/2018","Costco","COSTCO WHSE #0681","48.47","debit","Groceries","CREDIT CARD","",""
"2/15/2018","Account Maintenance Fee","TX.GOV SERVICEFEE-","2.00","debit","Bank Fee","CREDIT CARD","",""
"2/15/2018","Travis","TRAVIS VEHREG","103.25","debit","Check","CREDIT CARD","",""
"2/15/2018","Costco Gas","COSTCO GAS #0681","15.06","debit","Gas & Fuel","CREDIT CARD","",""
"2/14/2018","Target","TARGET T-2409 10107 ResearchTARGET T-2409 10107 Research Blvd Austin TX Card 15 #8212","34.81","debit","Groceries","PLUS CHECKING","",""
"2/13/2018","Smoothie King","Check Card: SMOOTHIE KING -0193 - AUSTIN TX  02/12/18Card 15 #4032","8.85","debit","Check","PLUS CHECKING","",""
"2/13/2018","Instacart Subscription Httpsinstacar","#804326637563  INSTACARTSUBSCRIPTION HTTPSINSTACAR CA  Card 15 #8212","149.00","debit","Check","PLUS CHECKING","",""
"2/13/2018","Jpmorgan Chase & Co.","JPMorgan Chase TYPE: Ext TrnsfrID: 9200502231 CO: JPMorgan Chase ACH ECC WEB","400.75","debit","Auto Payment","PLUS CHECKING","",""
"2/13/2018","Interest Charge","PURCHASE INTEREST CHARGE","29.32","debit","Finance Charge","CREDIT CARD","",""
"2/12/2018","Rosedale Market","ROSEDALE MARKET 1309 W 45TH STROSEDALE MARKET 1309 W 45TH ST AUSTIN TX Card 15 #4032","2.95","debit","Gas & Fuel","PLUS CHECKING","",""
"2/12/2018","Texas Gas Service Company","Texas Gas Service 0697057599","143.37","debit","Utilities","PLUS CHECKING","",""
"2/12/2018","Wfm Httpsinstacar Ca","Check Card: WFM HTTPSINSTACARCheck Card: WFM HTTPSINSTACAR CA  02/11/18Card 15 #8212","39.82","debit","Groceries","PLUS CHECKING","",""
"2/11/2018","iTunes","Check Card: APL*ITUNES.COM/BILL 866-712-7753 CA  02/11/18Card 15 #8212","0.99","debit","Check","PLUS CHECKING","",""
"2/11/2018","Central Market","CENTRAL MARKET #061 4001 N.CENTRAL MARKET #061 4001 N. LAMAR AUSTIN TX Card 15 #8212","37.41","debit","Groceries","PLUS CHECKING","",""
"2/11/2018","Kerbey Lane Cafe Inc.","Check Card: KERBEY LANECAFE-CENTRA AUSTIN TX  02/09/18Card 15 #4032","28.46","debit","Check","PLUS CHECKING","",""
"2/10/2018","Crown Anchor","Check Card: CROWN AND ANCHORCheck Card: CROWN AND ANCHOR AUSTIN TX  02/09/18Card 15 #4032","7.00","debit","Check","PLUS CHECKING","",""
"2/10/2018","Eldorado Cafe","Check Card: ELDORADO CAFECheck Card: ELDORADO CAFE AUSTIN TX  02/09/18Card 15 #8212","24.24","debit","Check","PLUS CHECKING","",""
"2/10/2018","Kerbey Lane Cafe","Check Card: KERBEY LANE CAFE-UTAUSTIN TX  02/08/18Card 15 #4032","34.36","debit","Check","PLUS CHECKING","",""
"2/10/2018","Heb East St","HEB #425 1000 EAST 41 ST.HEB #425 1000 EAST 41 ST. AUSTIN TX Card 15 #8212","50.25","debit","Groceries","PLUS CHECKING","",""
"2/10/2018","iTunes","Check Card: APL*ITUNES.COM/BILL 866-712-7753 CA  02/10/18Card 15 #4032","10.81","debit","Check","PLUS CHECKING","",""
"2/09/2018","Transfer to CREDIT CARD","CHASE CREDIT CRD TYPE: EPAYID: 5760039224 CO: CHASE CREDIT CRD ACH ECC WEB","500.00","debit","Credit Card Payment","PLUS CHECKING","",""
"2/08/2018","Austinregclinic Quarry","Check Card:AUSTINREGCLINIC-QUARRY AUSTIN TX  02/07/18Card 15 #8212","25.00","debit","Doctor","PLUS CHECKING","",""
"2/08/2018","People's Pharmacy Inc.","Check Card: PEOPLES PHARMACY -#1 AUSTIN TX  02/07/18Card 15 #8212","10.42","debit","Groceries","PLUS CHECKING","",""
"2/08/2018","Chase Type Autopay","CHASE CREDIT CRD TYPE: AUTOPAYID: 4760039224 CO: CHASE CREDIT CRD ACH ECC PPD","136.96","debit","Credit Card Payment","PLUS CHECKING","",""
"2/08/2018","Family Dentistry","Check Card: WALTON FAMILYDENTISTRY 512-9538362 TX  02/07/18Card 15 #8212","152.96","debit","Dentist","PLUS CHECKING","",""
"2/08/2018","Jamba Juice","Check Card: JAMBA JUICE @GUADALUPE AUSTIN TX  02/06/18Card 15 #4032","6.38","debit","Check","PLUS CHECKING","",""
"2/08/2018","Transfer from PLUS CHECKING","Payment Thank You - Web","500.00","credit","Credit Card Payment","CREDIT CARD","",""
"2/07/2018","Whole Foods","WHOLEFDS DOM # 1 11920 AUSTINWHOLEFDS DOM # 1 11920 AUSTIN TX Card 15 #8212","54.22","debit","Groceries","PLUS CHECKING","",""
"2/07/2018","Shell","SHELL Service Station AUSTIN TXSHELL Service Station AUSTIN TX Card 15 #8212","32.08","debit","Gas & Fuel","PLUS CHECKING","",""
"2/07/2018","PayPal","PAYPAL TYPE: INST XFER  ID:PAYPAL TYPE: INST XFER  ID: PAYPALSI77 CO: PAYPAL ACH ECC WEB","11.90","debit","Check","PLUS CHECKING","",""
"2/07/2018","iTunes","Check Card: APL*ITUNES.COM/BILL 866-712-7753 CA  02/07/18Card 15 #8212","32.46","debit","Check","PLUS CHECKING","",""
"2/07/2018","Spotify","#803823515863  Spotify USA#803823515863  Spotify USA 646-8375380 NY  Card 15 #4032","10.81","debit","Check","PLUS CHECKING","",""
"2/06/2018","Statesman Tx","Check Card: STATESMANCheck Card: STATESMAN 512-445-4040 TX  02/06/18Card 15 #8212","55.74","debit","Check","PLUS CHECKING","",""
"2/06/2018","Liberty Mutual","LIBERTY MUTUAL TYPE: PAYMENTID: 9267721101 CO: LIBERTY MUTUAL ACH ECC PPD","216.92","debit","Home Insurance","PLUS CHECKING","",""
"2/06/2018","Time Warner","TIME WARNER CABL TYPE: TW CABLEID: C826016000 CO: TIME WARNER CABL ACH ECC WEB","182.81","debit","Television","PLUS CHECKING","",""
"2/06/2018","Liberty Mutual","LIBERTY MUTUAL TYPE: PAYMENTID: 9267721101 CO: LIBERTY MUTUAL ACH ECC PPD","29.17","debit","Auto Insurance","PLUS CHECKING","",""
"2/06/2018","A Tex Family","A-TEX FAMILY FUN CNTR AUSTIN TXA-TEX FAMILY FUN CNTR AUSTIN TX Card 15 #8212","21.64","debit","Check","PLUS CHECKING","",""
"2/06/2018","Can Do Yoga","Check Card: SQ *CAN DO YOGA,LIFE C Austin TX  02/05/18Card 15 #8212","105.00","debit","Check","PLUS CHECKING","",""
"2/06/2018","Rodanfi Lds San","Check Card: RODANFI*LDS4152738000 San Francisco CA  02/05/18Card 15 #8212","193.77","credit","Check","PLUS CHECKING","",""
"2/05/2018","The Omelettry Inc","Check Card: THE OMELETTRY INCCheck Card: THE OMELETTRY INC AUSTIN TX  02/04/18Card 15 #4032","22.05","debit","Check","PLUS CHECKING","",""
"2/05/2018","Fronterafest Sh Hydeparktheat","Check Card: FRONTERAFEST SHHYDEPARKTHEAT TX  02/04/18Card 15 #8212","19.87","debit","Check","PLUS CHECKING","",""
